_id,No. de proceso,Tipo proceso,Despacho judicial actual,Jurisdicción,Valor pretensión
49,2013-00086,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 176.850.000
50,2012-00054,Nulidad Simple,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
51,2013-00019,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 704.800.000
52,2013-00128,Restitucion y Formalizacion De Tierras,TRIBUNAL SUPERIOR 0 SALA CIVIL ESPECIALIZADA EN RESTITUCION DE TIERRAS DE CALI,Civil,$ 0
53,2013-00379,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 200.000.000
54,2010-00431,Ejecutivo,CONSEJO DE ESTADO,Administrativo,$ 2.909.898.125
55,2013-01197,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 6.068.261.141
56,2013-01032,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 8.140.397
57,2013-00285,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 308.000.000
58,2013-00384,Reparacion Directa,JUZGADO 001 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 492.800.000
59,2013-00296,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 43.779.000
60,2013-00073,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 441.401.580
61,2013-00036,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 527.923.500
62,2016-00058,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 645.810.000
63,2014-00026,Nulidad y Restablecimiento del Derecho,JUZGADO 008 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 28.785.170
64,2012-00055,Reparacion Directa,JUZGADO 017 ADMINISTRATIVO DE CALI,Administrativo,$ 190.680.000
65,2014-00277,Contractual,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 2.434.246.912
66,2014-00437,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 9.793.583
67,2014-00411,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 2.500.000
68,2013-00216,Nulidad y Restablecimiento del Derecho,JUZGADO 007 ADMINISTRATIVO DE CALI,Administrativo,$ 0
69,2014-00191,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 81.500.000
70,2014-00101,Nulidad y Restablecimiento del Derecho,CONSEJO DE ESTADO 002 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN SEGUNDA,Administrativo,$ 40.781.541
71,2014-00102,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.205.947.648
72,2013-00327,Reparacion Directa,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 171.679.920
73,2013-01324,Contractual,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 1.189.618.764
74,2013-00381,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.102.150.000
75,2014-00001,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 498.800.000
76,2013-00442,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 3.500.000.000
77,2001-00052,Civil Ordinario,JUZGADO 004 CIVIL DEL CIRCUITO DE CALI,Civil,$ 100.000.000
78,2014-00200,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 964.372.288
79,2014-00038,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 28.813.950
80,2014-00136,Nulidad y Restablecimiento Tributario,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
81,2016-00076,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 437.902.832
82,2014-00082,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 677.600.000
83,2014-00171,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE CALI,Administrativo,$ 1.108.800.000
84,2014-00161,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 268.701.088
85,2013-00249,Reparacion Directa,JUZGADO 018 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 165.930.500
86,2014-00524,Ordinario Laboral,JUZGADO 016 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 350.000.000
87,2013-00024,Reparacion Directa,JUZGADO 10 ADMINISTRATIVO DE CALI,Administrativo,$ 316.400.000
88,2013-00931,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.200.000.000
89,2013-00106,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 629.711.488
90,2014-00822,Nulidad y Restablecimiento del Derecho,CONSEJO DE ESTADO 002 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN SEGUNDA,Administrativo,$ 52.985.356
91,2014-00179,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 2.544.000.512
92,2002-04561,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 36.960.000
93,2014-00317,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 66.600.000
94,2016-00113,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 10.426.292
95,2014-00164,Nulidad y Restablecimiento del Derecho,JUZGADO 012 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 5.366.981
96,2014-00366,Acción Popular,JUZGADO 013 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 0
97,2014-00231,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 251.720.000
98,2014-00142,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 1.265.619.389
99,2013-00809,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 68.303.637.512
100,2014-00792,Contractual,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 8.024.220.670
101,2014-00794,Contractual,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 4.059.796.000
102,2014-00183,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 268.425.923
103,2014-00729,Nulidad y Restablecimiento del Derecho,CONSEJO DE ESTADO SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN CUARTA,Administrativo,$ 3.562.000.000
104,2014-00829,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 8.400.000
105,2014-00580,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 69.600.000
106,2022-00134,Nulidad y Restablecimiento Tributario,JUZGADO 015 ADMINISTRATIVO DE CALI,Administrativo,$ 122.362.000
107,2014-00500,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 1.540.800.000
108,2014-00326,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 433.200.000
109,2014-01062,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 3.141.604.000
110,2016-00043,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 116.732.500
111,2014-00495,Ordinario Laboral,JUZGADO 006 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 250.000.000
112,2014-00934,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 2.466.036.000
113,2014-00901,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 2.815.148.000
114,2014-00902,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 3.002.468.000
115,2014-01075,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 3.175.340.000
116,2014-01123,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 5.322.296.000
117,2013-00309,Reparacion Directa,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 259.713.659
118,2014-01440,Acción de Grupo,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 13.628.002.500
119,2013-00069,Ordinario Laboral,TRIBUNAL SUPERIOR DE CALI SALA LABORAL,Laboral,$ 11.790.000
120,2014-00300,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 2.232.600.000
121,2014-00381,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 61.500.000
122,2015-00044,Acción de Cumplimiento,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
123,2014-00275,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 662.684.300
124,2014-00056,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 383.775.000
125,2014-00361,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 507.913.480
126,2014-00477,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 600.019.000
127,2014-00043,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 86.987.250
128,2015-00075,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 3.040.043.300
129,2015-00007,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 398.313.728
130,2014-00209,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.230.416.640
131,2014-01429,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 3.001.131.000
132,2013-00075,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 15.000.000
133,2014-00056,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 2.348.800.000
134,2014-00653,Ejecutivo Laboral,JUZGADO 2 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 800.000.000
135,2014-00191,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 161.087.500
136,2015-00028,Ejecutivo,JUZGADO 009 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 140.000.000
137,2014-00407,Reparacion Directa,JUZGADO 010 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 492.800.000
138,2014-00377,Nulidad y Restablecimiento del Derecho,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 3.394.878
139,2014-00045,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE CAUCA,Administrativo,$ 3.803.475
140,2015-00079,Ordinario Laboral,TRIBUNAL SUPERIOR SALA LABORAL,Laboral,$ 12.887.000
141,2014-00066,Divisorio,JUZGADO 001 CIVIL DEL CIRCUITO DE ORALIDAD DE CALI,Civil,$ 2.250.000.000
142,2014-00490,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 1.257.559.168
143,2016-00059,Reparacion Directa,JUZGADO 019 ADMINISTRATIVO DE CALI,Administrativo,$ 233.097.728
144,2016-00056,Reparacion Directa,JUZGADO 013 ADMINISTRATIVO DE CALI,Administrativo,$ 569.485.376
145,2014-00066,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 70.000.000
146,2014-00057,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 64.435.000
147,2014-00482,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 613.965.754
148,2015-00001,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 0
149,2015-00008,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 297.749.500
150,2015-00215,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 2.518.300.512
151,2014-00550,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 64.435.300
152,2014-00332,Reparacion Directa,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 781.572.288
153,2003-01384,Acción Popular,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 0
154,2014-01271,Acción de Grupo,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 2.009.445.760
155,2015-00111,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 537.217.408
156,2015-00490,Reparacion Directa,JUZGADO 007 ADMINISTRATIVO DE ORALIDAD DE MEDELLÍN,Administrativo,$ 82.417.000
157,2016-00077,Ejecutivo Contractual,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 154.319.391
158,2014-00392,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 18.000.000
159,2016-00072,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 197.161.456
160,2015-00131,Ordinario Laboral,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Laboral,$ 12.887.000
161,2014-01388,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 5.909.549.489
162,2013-00022,Ordinario Laboral,JUZGADO 10 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 12.887.000
163,2015-00154,Reparacion Directa,JUZGADO 014 ADMINISTRATIVO DE CALI,Administrativo,$ 75.035.000
164,2014-00428,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 246.400.000
165,2015-00135,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 96.652.500
166,2014-01450,Reparacion Directa,CONSEJO DE ESTADO 003 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN TERCERA,Administrativo,$ 3.700.000.000
167,2015-00098,Ordinario Laboral,JUZGADO 001 LABORAL DEL CIRCUITO DE CALI,Civil,$ 12.887.000
168,2014-00336,Reparacion Directa,JUZGADO 013 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 483.447.616
169,2015-00310,Ordinario Laboral,JUZGADO 7 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 12.887.000
170,2015-00305,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 3.512.934.144
171,2016-00191,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 185.198.200
172,2014-00451,Reparacion Directa,JUZGADO 003 ADMINISTRATIVO DE CALI,Administrativo,$ 369.837.150
173,2014-00358,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 57.998.898
174,2023-00019,Reparacion Directa,JUZGADO 018 CIVIL CIRCUITO DE CALI,Administrativo,$ 300.000.000
175,2014-00379,Acción de Grupo,JUZGADO 013 ADMINISTRATIVO ORAL DEL CIRCUITO DE CALI,Administrativo,$ 0
176,2015-00235,Acción Popular,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 0
177,2014-00291,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 54.099.156
178,2015-00347,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 5.305.917.488
179,2014-00910,Ordinario Laboral,TRIBUNAL SUPERIOR DE CALI SALA LABORAL,Laboral,$ 450.000.000
180,2015-00410,Ordinario Laboral,JUZGADO 10 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 75.498.920
181,2015-00111,Ordinario Laboral,JUZGADO 10 LABORAL DEL CIRCUITO DE CALI,Laboral,$ 12.887.000
182,2015-00286,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 257.095.650
183,2015-00097,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 27.371.000
184,2015-00787,Nulidad y Restablecimiento del Derecho,CONSEJO DE ESTADO,Administrativo,$ 267.235.000
185,2015-00222,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 0
186,2014-00592,Divisorio,JUZGADO 012 CIVIL DEL CIRCUITO DE ORALIDAD DE CALI,Civil,$ 541.064.127
187,2015-00680,Nulidad y Restablecimiento del Derecho,CONSEJO DE ESTADO 001 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN PRIMERA,Administrativo,$ 86.956.827.816
188,2014-00407,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO,Administrativo,$ 513.121.792
189,2015-00706,Nulidad y Restablecimiento del Derecho,CONSEJO DE ESTADO 001 SALA CONTENCIOSO ADMINISTRATIVA SECCIÓN PRIMERA,Administrativo,$ 774.261.312
190,2014-00278,Nulidad y Restablecimiento del Derecho,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 411.646.500
191,2014-00300,Reparacion Directa,JUZGADO 005 ADMINISTRATIVO DE ORALIDAD DE CÚCUTA,Administrativo,$ 1.675.310.000
192,2015-00407,Verbal,JUZGADO 010 CIVIL DEL CIRCUITO DE CALI,Civil,$ 0
193,2014-00317,Acción Popular,JUZGADO 017 ADMINISTRATIVO DE ORALIDAD DE CALI,Administrativo,$ 0
194,2015-00042,Reparacion Directa,TRIBUNAL CONTENCIOSO ADMINISTRATIVO DE VALLE DEL CAUCA,Administrativo,$ 268.762.208
